rank,lat,lon,cluster,gap_score,traffic_volume,charger_count_nearby,road_density,distance_to_nearest_substation_m,traffic_source,reason,k_value,candidate_percentile,minimum_spacing_m,distance_to_nearest_windfarm_km
1,53.425378,-6.219091,5,0.7023622047244094,7731.5,0,3,138.2,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby",6,80,500,4.261
2,53.34371,-6.308068,0,0.3968606523777104,3157.07,0,95,106.0,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby, dense road network",6,80,500,12.007
3,53.350749,-6.254447,4,0.3168525110232656,1086.26,0,186,90.5,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby, dense road network, close to grid substation",6,80,500,8.8
4,53.272522,-6.219414,1,0.3162978580823617,2554.25,0,73,143.3,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby, dense road network",6,80,500,15.493
5,53.346838,-6.258914,4,0.2975323069903722,951.14,0,180,31.3,DCC_2024_2025,"Recommended due to: no existing chargers nearby, dense road network, close to grid substation",6,80,500,9.319
6,53.352471,-6.224958,3,0.271205112941688,2499.74,0,39,75.5,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby, close to grid substation",6,80,500,7.411
7,53.264716,-6.133623,1,0.2494307824468976,2376.65,0,30,75.3,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby, close to grid substation",6,80,500,15.999
8,53.403009,-6.310221,0,0.2469091511818152,2179.21,0,43,114.2,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby",6,80,500,9.829
9,53.405293,-6.265217,3,0.2363231376295256,1944.88,0,52,182.0,DCC_2024_2025,"Recommended due to: high traffic volume, no existing chargers nearby",6,80,500,6.837
10,53.342592,-6.271838,2,0.2282525459555219,2498.27,1,196,62.3,DCC_2024_2025,"Recommended due to: high traffic volume, low charger density, dense road network, close to grid substation",6,80,500,10.256
11,53.34937,-6.254029,2,0.2086485636782953,1921.72,1,207,45.2,DCC_2024_2025,"Recommended due to: high traffic volume, low charger density, dense road network, close to grid substation",6,80,500,8.891
